ID;Pays;Institution;;Equipes;Titre;TypeCoop;Motcle1;Motcle2;Motcle3;Motcle4;Motcle5;Budget;Bailleurs;Debut;Fin;Nb Copublications;;Role;StatutGM;NumGM;Lien;Nbpartenaires;Resume
ZIKAlliance;Allemagne;UNIVERSITATSKLINIKUM HEIDELBERG;Universitatsklinikum Heidelberg;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;UNIVERSITATSKLINIKUM BONN;Universitatsklinikum Bonn;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EVˇ;Max-Planck-Gesellschaft Zur Forderung Der Wissenschaften Evˇ;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;STIFTUNG TIERAERZTLICHE HOCHSCHULE HANNOVER;Stiftung Tieraerztliche Hochschule Hannover;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;EUROPEAN MOLECULAR BIOLOGY LABORATORY;European Molecular Biology Laboratory;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;BERNHARD-NOCHT-INSTITUT FUER TROPENMEDIZIN;Bernhard-Nocht-Institut Fuer Tropenmedizin;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;OTTO-VON-GUERICKE-UNIVERSITAET MAGDEBURG;Otto-Von-Guericke-Universitaet Magdeburg;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Allemagne;CHARITE - UNIVERSITAETSMEDIZIN BERLIN;Charite - Universitaetsmedizin Berlin;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Belgique;KATHOLIEKE UNIVERSITEIT LEUVEN;Katholieke Universiteit Leuven;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Belgique;UNIVERSITE DE LIEGE;Universite De Liege;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Belgique;JANSSEN PHARMACEUTICA NV;Janssen Pharmaceutica Nv;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;FUNDACAO OSWALDO CRUZ;Fundacao Oswaldo Cruz;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;FUNDACAO BAHIANA DE INFECTOLOGIA;Fundacao Bahiana De Infectologia;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;UNIVERSIDADE FEDERAL DE MINAS GERAIS;Universidade Federal De Minas Gerais;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;UNIVERSIDADE FEDERAL DE GOIAS;Universidade Federal De Goias;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;FUNDACAO FACULDADE DE MEDICINA;Fundacao Faculdade De Medicina;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;BrÇsil;Laboratorio Nacional de Computacao Cientifica;Laboratorio Nacional De Computacao Cientifica;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Cambodge;INSTITUT PASTEUR DU CAMBODGE FOUNDATION;Institut Pasteur Du Cambodge Foundation;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Chine;INSTITUT PASTEUR OF SHANGHAI, CHINESE ACADEMY OF SCIENCES;Institut Pasteur Of Shanghai, Chinese Academy Of Sciences;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Colombie;Universidad Industrial de Santander;Universidad Industrial De Santander;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Cuba;INSTITUTO DE MEDICINA TROPICAL PEDRO KOURI;Instituto De Medicina Tropical Pedro Kouri;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Equateur;SOSECALI C LTDA;Sosecali C Ltda;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Espagne;UNIVERSITAT DE BARCELONA;Universitat De Barcelona;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Espagne;INSTITUT DE RECERCA I TECNOLOGIA AGROALIMENTARIES;Institut De Recerca I Tecnologia Agroalimentaries;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;Institut national de la santÇ et de la recherche mÇdicale;Institut National De La SantÇ Et De La Recherche MÇdicale;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;coordinateur;;;;;
ZIKAlliance;France;Institut Pasteur;Institut Pasteur;Arbovirus et Insectes Vecteurs;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;INSERM TRANSFERT SA;Inserm Transfert Sa;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT;Institut De Recherche Pour Le Developpement;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;Commissariat A L Energie Atomique Et Aux Energies Alternatives;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS;Centre National De La Recherche Scientifique Cnrs;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;UNIVERSITE D'AIX MARSEILLE;Universite D'Aix Marseille;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;AGENCE NATIONALE DE LA SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL;Agence Nationale De La Securite Sanitaire De L Alimentation De L Environnement Et Du Travail;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;UNIVERSITE LYON 1 CLAUDE BERNARD;Universite Lyon 1 Claude Bernard;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;UNIVERSITE RENNES II;Universite Rennes Ii;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France;INSTITUT PASTEUR DE NOUVELLE-CALEDONIE;Institut Pasteur De Nouvelle-Caledonie;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;France (PolynÇsie);INSTITUT LOUIS MALARDE;Institut Louis Malarde;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Italie;UNIVERSITA DEGLI STUDI DI SIENA;Universita Degli Studi Di Siena;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Italie;FONDAZIONE EDMUND MACH;Fondazione Edmund Mach;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Mexique;INSTITUTO NACIONAL DE SALUD PUBLICA;Instituto Nacional De Salud Publica;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Mexique;INSTITUTO MEXICANO DEL SEGURO SOCIAL;Instituto Mexicano Del Seguro Social;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Norväge;FOLKEHELSEINSTITUTTET;Folkehelseinstituttet;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Pays-Bas;ERASMUS UNIVERSITAIR MEDISCH CENTRUM ROTTERDAM;Erasmus Universitair Medisch Centrum Rotterdam;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Pays-Bas;ACADEMISCH ZIEKENHUIS LEIDEN;Academisch Ziekenhuis Leiden;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Pays-Bas;STICHTING HET NEDERLANDS KANKER INSTITUUT-ANTONI VAN LEEUWENHOEK ZIEKENHUIS;Stichting Het Nederlands Kanker Instituut-Antoni Van Leeuwenhoek Ziekenhuis;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Pays-Bas;ACADEMISCH ZIEKENHUIS GRONINGEN;Academisch Ziekenhuis Groningen;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Pays-Bas;WAGENINGEN UNIVERSITY;Wageningen University;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;PÇrou;UNIVERSIDAD PERUANA CAYETANO HEREDIA;Universidad Peruana Cayetano Heredia;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
ZIKAlliance;Portugal;UNIVERSIDADE NOVA DE LISBOA;Universidade Nova De Lisboa;;A global alliance for Zika virus control and prevention;Projet scientifique;Zika;One Health;Infectious diseases;;;11 964 209,00 ?;Commission EuropÇenne;01/10/2016;30/09/2021;;;;;;;;
