ID;Pays;Institution;Institutions;Equipes;Titre;TypeCoop;Motcle1;Motcle2;Motcle3;Motcle4;Motcle5;Budget;Bailleurs;Debut;Fin;Nb Copublications;;Role;StatutGM;NumGM;Lien;Nbpartenaires;Resume
PIU;Japon;Kyoto Univ;Kyoto Univ;;Integrate immunogenetics and immunogenomics studies with systems biology and immune profiling to understang immunologic mechanisms behind vaccine response heterogeneity;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Vaccinomics Unit;Integrate immunogenetics and immunogenomics studies with systems biology and immune profiling to understang immunologic mechanisms behind vaccine response heterogeneity;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;Chine;Institut Pasteur of Shanghai,Chinese Academy of Sciences;Institut Pasteur Of Shanghai,Chinese Academy Of Sciences";;Exploiting host-pathogen interaction for the discovery of novel anti-microbial drug targets and drug candidates : impact of Leishmania-released proteins on the host macrophage phenotype (inflammasome) and exploit the parasite ecto-proteome for the identification of drug targets.;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Inflammation and Leishmania Infection Unit;Exploiting host-pathogen interaction for the discovery of novel anti-microbial drug targets and drug candidates : impact of Leishmania-released proteins on the host macrophage phenotype (inflammasome) and exploit the parasite ecto-proteome for the identification of drug targets.;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris); Malaria Translational Research Unit (MTRU);Evolution and co-adaptation of Plasmodium parasites to their hosts in the context of malaria elimination efforts, including studies on the asymptomatic reservoir and the dynamic of transmission, at the individual and community level.;PIU;;;;;;;;01/11/2016;30/11/2021;;;;;;;;
PIU;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Evolution and co-adaptation of Plasmodium parasites to their hosts in the context of malaria elimination efforts, including studies on the asymptomatic reservoir and the dynamic of transmission, at the individual and community level.;PIU;;;;;;;;01/11/2016;30/11/2021;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Integrative Microbiology of Zoonotic Pathogens Unit;Identify mechanisms invloved in the survival and persistance of leptospires int the environment and the host comprehensive analysisof leptospiral exoproteins development of vaccin;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;Uruguay;Institut Pasteur de Montevideo;Institut Pasteur De Montevideo;;Identify mechanisms invloved in the survival and persistance of leptospires int the environment and the host comprehensive analysisof leptospiral exoproteins development of vaccin;PIU;;;;;;;;01/11/2016;01/12/2022;;;;;;;;
PIU;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Artificial Virus Evolution Unit (AVENUe);Define viral hallmarks that influence fitness and cross reference this information with the global virome to identify high priority pathogens;PIU;;;;;;;;01/09/2017;30/09/2021;;;;;;;;
PIU;Etats-Unis;Icahn Scholl of Med. Mount Sinaï;Icahn Scholl Of Med. Mount Sinaï;;Define viral hallmarks that influence fitness and cross reference this information with the global virome to identify high priority pathogens;PIU;;;;;;;;01/09/2017;30/09/2021;;;;;;;;
