ID;Pays;Institution;Institutions;Equipes;Titre;TypeCoop;Motcle1;Motcle2;Motcle3;Motcle4;Motcle5;Budget;Bailleurs;Debut;Fin;Nb Copublications;PI;Role;StatutGM;Références;Lien;Nbpartenaires;Resume
PTR-483-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Signaling and Molecular Interaction Group;Characterizing the molecular organization of protein networks in hair cells to understand physiopathogenesis of Usher syndrome for developing therapeutic approaches ;PTR;;;;;;;;01/01/2014;01/01/2016;;Nicolas WOLFF;Coordinateur;;PTR-483-2014;;;
PTR-483-2014;Maroc;Institut Pasteur du Maroc;Institut Pasteur Du Maroc;;Characterizing the molecular organization of protein networks in hair cells to understand physiopathogenesis of Usher syndrome for developing therapeutic approaches ;PTR;;;;;;;;01/01/2014;01/01/2016;;Barakat ABDELHAMID;;;PTR-483-2014;;;
PTR-483-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Molecular Biophysics Platform);Characterizing the molecular organization of protein networks in hair cells to understand physiopathogenesis of Usher syndrome for developing therapeutic approaches ;PTR;;;;;;;;01/01/2014;01/01/2016;;Amel BAHOUL / Patrick ENGLAND;;;PTR-483-2014;;;
PTR-483-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Recombinant Proteins in Prokaryotic Cells Platform;Characterizing the molecular organization of protein networks in hair cells to understand physiopathogenesis of Usher syndrome for developing therapeutic approaches ;PTR;;;;;;;;01/01/2014;01/01/2016;;Jacques BELLALOU;;;PTR-483-2014;;;
PTR-484-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Biology of Enteric Viruses Unit;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Francis DELPEYROUX;Coordinateur;;PTR-484-2014;;;
PTR-484-2014;Tunisie;Institut Pasteur de Tunis;Institut Pasteur De Tunis;;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Henda TRIKI;;;PTR-484-2014;;;
PTR-484-2014;Cameroun;Institut Pasteur du Cameroun;Institut Pasteur Du Cameroun;;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Richard NJOUOM;;;PTR-484-2014;;;
PTR-484-2014;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Jean-Michel HERAUD;;;PTR-484-2014;;;
PTR-484-2014;Algérie;Institut Pasteur d'Algérie;Institut Pasteur D'Algérie;;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Leila ANES-BOULAHBAL;;;PTR-484-2014;;;
PTR-484-2014;Côte d'Ivoire;Institut Pasteur de Côte d'Ivoire;Institut Pasteur De Côte D'Ivoire;;Study the circulation of enteroviruses A71 and assess the epidemic risk in Africa for the implementation of preventive strategies;PTR;;;;;;;;01/01/2014;01/01/2016;;Edgard Valery ADJOUGOUA;;;PTR-484-2014;;;
PTR-490-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Malaria Parasite Biology and Vaccines Unit;Understand Plasmodium vivax invasion mechanisms to develop a vaccine;PTR;;;;;;;;01/01/2014;01/01/2016;;Chetan CHITNIS;Coordinateur;;PTR-490-2014;;;
PTR-490-2014;Madagascar;Institut Pasteur de Madagascar;Institut Pasteur De Madagascar;;Understand Plasmodium vivax invasion mechanisms to develop a vaccine;PTR;;;;;;;;01/01/2014;01/01/2016;;Inès VIGAN-WOMAS;;;PTR-490-2014;;;
PTR-490-2014;Cambodge;Institut Pasteur du Cambodge;Institut Pasteur Du Cambodge;;Understand Plasmodium vivax invasion mechanisms to develop a vaccine;PTR;;;;;;;;01/01/2014;01/01/2016;;Didier MENARD;;;PTR-490-2014;;;
PTR-491-2014;Laos;Institut Pasteur du Laos;Institut Pasteur Du Laos;Arbovirus and emerging viral diseases unit;Determine the role of PBMCs in transmission/ infection of dengue vectors for better prevention and control;PTR;;;;;;;;01/01/2014;01/01/2016;;Marc GRANDADAM;Coordinateur;;PTR-491-2014;;;
PTR-491-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);;Determine the role of PBMCs in transmission/ infection of dengue vectors for better prevention and control;PTR;;;;;;;;01/01/2014;01/01/2016;;Valérie CARO / Anna-Bella FAILLOUX;;;PTR-491-2014;;;
PTR-494-2014;France;Institut Pasteur (Paris);Institut Pasteur (Paris);Helicobacter Pathogenesis Unit;How gastric Helicobacter species have evolved to be the sole colonizer of a unique niche, the stomach in half of the human population;PTR;;;;;;;;01/01/2014;01/01/2016;;Daniel VINELLA;Coordinateur;;PTR-494-2014;;;
